EmployeeID,Name,Age,Gender,JoiningDate,Salary,YearsExperience,PerformanceScore,Attrition,Gender_LabelEnc,Dept_Finance,Dept_HR,Dept_IT,Dept_Marketing,Dept_Sales,City_Austin,City_Boston,City_Chicago,City_New York,City_Seattle,Salary_MinMax,Salary_Zscore,JoiningYear,TenureYears,SalaryPerExperience,Attrition_bin
1,Employee_280,23.0,Male,2019-07-19,64977.66,5.1,3,No,1,False,False,True,False,False,False,False,False,False,True,0.5599575464324059,0.24200552558190053,2019,7,10652.075409836067,0
2,Employee_103,31.0,Male,2023-08-16,60424.78,7.0,3,Yes,1,False,True,False,False,False,False,False,False,False,True,0.49724816243439474,-0.07251071606907908,2023,3,7553.0975,1
3,Employee_172,41.0,Female,2020-04-19,50581.07,5.9,2,No,0,False,False,False,True,False,False,True,False,False,False,0.3616651928953202,-0.7525213188308828,2020,6,7330.589855072463,0
4,Employee_171,31.0,Female,2019-06-24,69688.77,0.6,3,No,0,False,False,True,False,False,False,False,False,False,True,0.6248463214598325,0.5674524100164442,2019,7,43555.48125,0
5,Employee_74,43.0,Male,2018-04-16,40633.13,7.0,5,No,1,True,False,False,False,False,False,True,False,False,False,0.22464660478204357,-1.4397322053399593,2018,8,5079.14125,0
6,Employee_265,32.0,Male,2021-09-13,50735.22,5.6,4,Yes,1,False,False,False,True,False,False,False,False,False,True,0.36378838778367517,-0.7418725253967271,2021,5,7687.154545454546,1
7,Employee_133,33.0,Female,2020-08-26,73106.75,8.1,3,No,0,False,False,False,False,True,False,False,False,False,True,0.6719240876907724,0.8035689392546874,2020,6,8033.708791208792,0
8,Employee_160,27.0,Female,2022-01-28,72360.22,1.0,3,No,0,False,True,False,False,False,True,False,False,False,False,0.661641708968725,0.7519981071924092,2022,4,36180.11,0
9,Employee_38,23.0,Female,2022-03-17,47630.23,1.3,3,No,0,False,True,False,False,False,False,False,False,False,True,0.3210216093445367,-0.956367479176285,2022,4,20708.795652173914,0
10,Employee_82,28.0,Male,2018-06-21,51257.99,8.2,1,No,1,False,False,True,False,False,False,False,False,False,True,0.3709887938283414,-0.7057591958892765,2018,8,5571.520652173913,0
11,Employee_275,32.0,Male,2016-06-19,41097.53,5.7,2,No,1,False,True,False,False,False,False,False,False,True,False,0.23104304789688002,-1.4076511176278483,2016,10,6133.959701492537,0
12,Employee_61,22.0,Female,2015-05-01,52451.44,6.5,3,No,0,False,False,True,False,False,False,True,False,False,False,0.3874268537667599,-0.6233148071510795,2015,11,6993.525333333334,0
13,Employee_228,50.0,Female,2022-01-14,55927.13,9.3,4,Yes,0,False,False,False,False,True,False,True,False,False,False,0.4352994923752992,-0.3832116293946065,2022,4,5429.818446601941,1
14,Employee_276,27.0,Male,2016-09-14,65665.91,5.1,5,No,1,False,True,False,False,False,False,True,False,False,False,0.569437201845382,0.28955033311389927,2016,10,10764.903278688525,0
15,Employee_67,25.0,Male,2025-04-06,73892.66,0.9,3,No,1,False,True,False,False,False,False,False,False,True,False,0.6827488693625663,0.8578601701845433,2025,1,38890.87368421053,0
16,Employee_130,45.0,Female,2019-12-27,83510.3,7.0,4,No,0,False,False,False,False,True,True,False,False,False,False,0.8152180492914534,1.5222536939216338,2019,7,10438.7875,0
17,Employee_139,33.0,Male,2023-05-20,55175.47,4.0,4,No,1,True,False,False,False,False,False,True,False,False,False,0.42494645527000663,-0.4351368455653323,2023,3,11035.094000000001,0
18,Employee_58,49.0,Female,2024-05-28,81665.08,0.0,3,No,0,False,False,True,False,False,False,True,False,False,False,0.7898027935542475,1.394784562422622,2024,2,81665.08,0
19,Employee_89,32.0,Male,2024-03-26,34372.45,0.8,3,No,1,False,False,False,False,True,False,False,False,True,False,0.13841472820970518,-1.872224505549816,2024,2,19095.805555555555,0
